i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
7,3,16.80927571430776,23.997559003004387,6.7619309082801315,97.81004751168733,0.0,1.6911508424590997E-228,5.935369369905144E-306,4.854289143250522E-183,3.0978337635631426E-206,0.0,1.0,0.0,453.0,21.34094784628003,23.040729045249265
7,4,76.94615496179571,22.51837005299196,7.302641813623865,68.74720722317132,0.0,1.0,0.0,1.5861604484433327E-200,2.576387512720294E-224,0.0,0.0,0.0,462.0,14.191645061324035,47.98337309697915
7,5,24.50531508113477,9.655953550489189,8.217885777509377,7.773551999649088,0.0,0.0,0.0,2.1812647693983034E-289,5.140554E-317,0.0,0.0,0.0,532.0,19.141386241917107,13.290557139529874
7,6,18.531863326043386,4.662767056340031,6.06900075341551,7.903707421057115,0.0,5.856688594611337E-267,1.0,5.1185956550490975E-220,5.419033785632135E-244,0.0,0.0,0.0,485.0,17.84730681248103,23.851335135191295
7,7,5.809658702142517,0.680622450077463,5.7765441607648595,81.29214786915605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,627.0,21.07459749235666,29.699175265290645
7,8,31.557320008123135,3.4678283882862297,7.078896256065377,71.23248746579175,0.0,2.5055434273488037E-180,7.046583374657409E-249,9.790226114669131E-141,7.253414130735104E-161,0.0,0.0,1.0,418.0,16.305288730238175,49.56431888227078
7,9,64.32146649371361,1.4579993391968382,5.489036398222343,53.302370650480086,7.843951356548045E-261,1.210673906375218E-94,4.661493506547109E-143,2.160101192394532E-68,1.5491850297570448E-81,5.386132780994832E-205,1.3606791888821182E-217,4.05383602267633E-260,334.0,14.81529111242472,15.387620580659528
8,0,45.4039310545205,24.26318210940372,4.4693591664780365,50.811172404946454,0.0,7.951978628065238E-174,1.4087137654798562E-240,1.0,6.282850533927952E-155,2.77E-322,0.0,0.0,415.0,16.137481463442114,23.724004655411264
8,1,57.44338581424263,10.372072471944247,4.937928793398883,87.20689566625353,0.0,1.7089086708267938E-176,3.1192984799014874E-244,1.0,2.7383999746304242E-157,0.0,0.0,0.0,409.0,18.467811789355984,46.5515135591939
8,2,32.07644164711918,8.503148007130921,4.368846588773247,13.379411672599804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,12.840003049715392,36.65872209826608
8,3,14.287065142725494,26.409179448974438,4.690264198498909,75.17026559440919,0.9999920134373202,6.716352751781253E-13,1.596528176517231E-32,7.980078969246567E-6,6.483038922502547E-9,7.796778324784964E-64,1.1980816777427261E-70,1.2484906793354684E-98,192.99846180984838,16.772883946390262,26.77704767005642
8,4,14.01375160104048,13.108869566482435,7.804496957079814,50.966181571770974,0.0,1.0,0.0,4.4989316E-317,0.0,0.0,0.0,0.0,550.0,18.493370292501524,49.19596103364909
8,5,74.61393305468155,26.162064725057007,5.430268877237806,34.93217102496495,6.328539545789497E-124,2.157063842073912E-27,2.093454520688123E-51,2.1936737132042962E-17,5.154069888394217E-22,1.0,4.011829797490882E-95,3.407973171277765E-125,218.0,21.088817614732093,39.321516835190934
8,6,27.56042791234098,6.566436345047745,4.050436376724015,94.80249705305457,1.0,9.033733384741959E-201,3.433003347981061E-273,1.2396696181137372E-158,4.2978938788993116E-180,0.0,0.0,0.0,432.0,21.991145516644394,28.77259291119312
8,7,92.72248357642935,14.842337700655255,4.193395217015412,89.14053422447428,0.0,3.5637385373249097E-146,5.323734177713338E-206,1.0,1.8040321643178733E-129,3.167600745334879E-280,3.467020387425099E-295,0.0,373.0,20.295620008325386,24.934170609674446
8,8,58.79944632728045,6.586756124472487,6.881918915786109,96.37484006903192,2.2792391891825657E-180,1.0270400627953438E-50,5.021382237805292E-86,3.456455452089476E-33,1.0,6.209693278153479E-134,7.189370447109157E-144,3.919160769584259E-180,262.0,14.770282409595037,24.71336170568717
8,9,89.04581472150196,16.260640251340917,8.351033081965117,19.00173746538351,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,693.0,12.944965299722263,35.10773716977506
9,0,95.65655819470705,5.8633892346333445,4.735699859415279,79.30966244796917,2.682054674991165E-304,1.667176271888518E-122,1.1184893498621388E-176,1.881159049032959E-92,1.3857727331778786E-107,8.041823884931833E-245,1.2767405208949173E-258,1.0,349.0,19.753606375455625,36.173772540749226
9,1,13.828897166537368,3.1425334015191266,3.9888602985332593,23.887907876230347,0.0,1.931703407574735E-139,2.178732254204526E-198,3.3887511055945927E-106,5.26896085010375E-123,1.0659458531336104E-271,1.7965011494141015E-286,0.0,387.0,14.570450945801344,44.571162145280894
9,2,14.704855095685687,2.9729141066814866,6.282712115603449,34.07211917306318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,20.29973549019788,26.984770663457127
9,3,4.708555441316864,13.862456315403051,3.9630354437777164,22.409737059896294,1.0,1.272280062998684E-118,2.2714410898514855E-173,3.7305992003017285E-88,1.6561446600953636E-103,3.874763777851829E-242,4.9574953078485994E-256,1.7650328993230405E-301,368.0,16.491336594088164,39.702271805618885
9,4,19.584836175434617,10.00208397313116,6.516291336008084,66.35343495195698,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,590.0,12.877017053811437,21.20433845322081
9,5,39.800991770966476,26.99184314910268,3.73606294646954,70.60514516351076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,553.0,17.779157205439112,37.58601900933658
9,6,83.00814935066074,21.944418737469647,5.42713432004817,77.38495540994157,0.0,3.247966374809263E-135,8.960780904229014E-193,6.453539614180977E-103,3.1884915094503517E-119,1.4654886094381542E-264,4.78202047819856E-279,0.0,368.0,15.180046867028784,5.935995998349775
9,7,74.9664801258989,17.69745633154267,5.8622267296450605,67.67421946874614,3.8469876878059466E-100,0.9999999999999912,5.5812435039876275E-39,8.783149169119485E-15,2.432398028450799E-17,8.271248788545585E-69,2.233786966511958E-75,6.083103883435046E-102,187.99999999999835,20.334403131206244,5.203441531857002
9,8,89.46736167611034,24.546889779239567,8.709731883700528,99.63432515903055,2.4983937403422755E-238,1.0320058707556985E-83,5.277844442864203E-128,1.0,6.474936493481651E-72,1.593381746151676E-185,2.702105911279586E-197,1.0775143481195378E-237,296.0,13.000017909828399,49.135547301731854
9,9,96.64278531982156,7.308178476354209,3.848225954719084,37.67093094664374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,558.0,13.082988345025704,17.692191886752454
